,0
0,0.0
1,1642.4212357710644
2,3614.696243696187
3,3446.952233366494
4,5032.274362362239
5,5163.326537135163
6,6933.703323090083
7,8492.624457054604
8,10029.856712812729
9,11659.994747419456
10,13339.421845462164
11,14959.529033902312
12,16578.71854946681
13,18222.567086435767
14,19885.16991477542
15,15655.169890858362
16,17252.996903397037
17,18882.502121333255
18,20665.968298955886
19,20001.20730297166
20,21627.60509528504
21,23252.66664334754
22,24662.133987635767
23,26248.111650260456
24,27750.948543096798
25,29416.459474679697
26,30831.877570000346
27,32417.594386886183
28,34085.93879443769
29,35594.77069353108
30,31552.303540449175
31,33205.84014559874
32,31903.097035621053
33,33343.13245158066
34,34704.58898416905
35,36309.76342332447
36,33598.90040429217
37,34962.75568314039
38,36344.92552623667
39,37773.65976397141
40,39388.55442037564
41,41002.975313909505
42,42431.31735605096
43,43930.40499421058
44,45294.12921402644
45,46710.14386404346
46,48287.63268130861
47,49811.971905081824
48,51354.05264917385
49,50488.31102336851
50,51974.188380902895
51,53453.87652790026
52,55106.80000261748
53,51222.31194646567
54,52884.50092298784
55,54542.23940594605
56,56130.42542860541
57,57567.17856631944
58,59139.21489089384
59,60498.72010308321
60,61916.88816465562
61,63585.84574486625
62,64891.666855202864
63,65343.19600152938
64,66790.893887176
65,68253.19076102678
66,69695.96309390968
67,69087.34910459607
68,70543.75362165604
69,71949.185392269
70,73335.72976601531
71,74664.56520705279
72,75406.43687511321
73,75892.14897919144
74,77233.20814774944
75,78424.52039683487
76,79759.87726218592
77,81031.19358735105
78,82229.56415883354
79,83540.32986484663
80,84619.46295419808
81,85700.3745883511
82,86773.58247256023
83,88029.3172620284
84,89250.18016317724
85,90314.84129544588
86,91625.8900236729
87,92930.54024300828
88,94109.98000108427
89,91661.98384915882
90,91748.16553606745
91,92883.60240218192
92,94266.76459717187
93,95397.7488983977
94,96612.03387062343
95,97985.17475209749
96,96373.51191251405
97,96626.21432978236
98,97868.03744058196
99,99080.23465547546
100,100277.72504225382
101,101401.85438694216
102,102813.38318168322
103,104072.56211009323
104,105271.49055900675
