week,S_entry,call_K,put_K,premium_collected,pnl,stopped_out,exit_day
0,24500,24975.0,24075.0,1642.4,1642.4,False,5
1,24170,24594.504390391867,23794.504390391867,1972.3,1972.3,False,5
2,24254,24715.53624798986,23865.53624798986,1787.6,-167.7,False,5
3,23298,23752.90492707238,22902.90492707238,1585.3,1585.3,False,5
4,22663,23063.458541003474,22313.458541003474,1850.5,131.1,False,5
5,22294,22699.940836881375,21949.940836881375,1770.4,1770.4,False,5
6,22261,22671.762149284008,21871.762149284008,1558.9,1558.9,False,5
7,22149,22576.47528638275,21776.47528638275,1537.2,1537.2,False,5
8,22600,23010.392649936668,22210.392649936668,1630.1,1630.1,False,5
9,22831,23255.982866050766,22455.982866050766,1679.4,1679.4,False,5
10,22556,22972.50496101076,22172.50496101076,1620.1,1620.1,False,5
11,22551,22968.75594283507,22168.75594283507,1619.2,1619.2,False,5
12,22653,23055.415853531955,22255.415853531955,1643.8,1643.8,False,5
13,22698,23143.009982443033,22343.009982443033,1662.6,1662.6,False,5
14,22895,23310.779902168968,22510.779902168968,1692.0,-4230.0,True,3
15,22418,22855.504348522332,22055.504348522332,1597.8,1597.8,False,5
16,22598,23008.147426214946,22208.147426214946,1629.5,1629.5,False,5
17,22368,22763.081432930805,22013.081432930805,1783.5,1783.5,False,5
18,21926,22337.022628060786,21587.022628060786,1692.6,-664.8,False,5
19,21637,22041.50990819913,21291.50990819913,1626.4,1626.4,False,5
20,21628,22033.666021573747,21283.666021573747,1625.1,1625.1,False,5
21,21528,21949.112202479588,21149.112202479588,1409.5,1409.5,False,5
22,21457,21838.179091953625,21088.179091953625,1586.0,1586.0,False,5
23,21070,21459.34963185223,20709.34963185223,1502.8,1502.8,False,5
24,20882,21249.44262442503,20549.44262442503,1665.5,1665.5,False,5
25,20630,21035.523330141918,20285.523330141918,1415.4,1415.4,False,5
26,20515,20887.85032901036,20187.85032901036,1585.7,1585.7,False,5
27,20895,21260.7766809005,20560.7766809005,1668.3,1668.3,False,5
28,21097,21482.132235551722,20732.132235551722,1508.8,1508.8,False,5
29,21558,21974.25937638808,21224.25937638808,1617.0,-4042.5,True,3
30,21774,22157.604611428644,21407.604611428644,1653.5,1653.5,False,5
31,21390,21781.74772525583,21031.74772525583,1570.5,-1302.7,False,5
32,20766,21151.02796777118,20401.02796777118,1440.0,1440.0,False,5
33,20383,20775.63631092982,20025.63631092982,1361.5,1361.5,False,5
34,20606,20965.492898260818,20265.492898260818,1605.2,1605.2,False,5
35,20437,20821.28050728747,20121.28050728747,1574.3,-2710.9,False,5
36,19453,19834.910479449387,19134.910479449387,1363.9,1363.9,False,5
37,19567,19932.146973082796,19232.146973082796,1382.2,1382.2,False,5
38,19739,20128.19953844406,19428.19953844406,1428.7,1428.7,False,5
39,19692,20038.165751971377,19388.165751971377,1614.9,1614.9,False,5
40,19689,20035.97257074434,19385.97257074434,1614.4,1614.4,False,5
41,19734,20124.021048485483,19424.021048485483,1428.3,1428.3,False,5
42,20069,20459.00604188241,19759.00604188241,1499.1,1499.1,False,5
43,20395,20785.526475954346,20035.526475954346,1363.7,1363.7,False,5
44,20635,21039.34762356173,20289.34762356173,1416.0,1416.0,False,5
45,20462,20843.01881028644,20143.01881028644,1577.5,1577.5,False,5
46,20237,20601.857382758317,19901.857382758317,1524.3,1524.3,False,5
47,20310,20663.30107228574,19963.30107228574,1542.1,1542.1,False,5
48,20135,20515.08571309846,19815.08571309846,1506.3,-865.7,False,5
49,20975,21378.65971932422,20628.65971932422,1485.9,1485.9,False,5
50,20925,21336.6635594504,20586.6635594504,1479.7,1479.7,False,5
51,20812,21189.845099517668,20489.845099517668,1652.9,1652.9,False,5
52,21293,21699.27680412173,20949.27680412173,1553.8,-3884.5,True,4
53,20865,21235.373058234756,20535.373058234756,1662.2,1662.2,False,5
54,20841,21214.883759990844,20514.883759990844,1657.7,1657.7,False,5
55,20529,20899.36698504173,20199.36698504173,1588.2,1588.2,False,5
56,20751,21138.684264520376,20388.684264520376,1436.8,1436.8,False,5
57,20416,20803.268166834256,20103.268166834256,1572.0,1572.0,False,5
58,20373,20766.754225945468,20016.754225945468,1359.5,1359.5,False,5
59,20650,21052.42721113096,20302.42721113096,1418.2,1418.2,False,5
60,20898,21263.158000296666,20563.158000296666,1669.0,1669.0,False,5
61,20828,21203.925217482156,20503.925217482156,1655.5,1305.8,False,5
62,20343,20741.493970838175,19991.493970838175,1354.4,451.5,False,5
63,19878,20246.0978081784,19546.0978081784,1447.7,1447.7,False,5
64,19945,20302.96897981363,19602.96897981363,1462.3,1462.3,False,5
65,19851,20222.954615679875,19522.954615679875,1442.8,1442.8,False,5
66,19605,19964.261967742135,19264.261967742135,1390.5,-608.6,False,5
67,18951,19308.249431928147,18658.249431928147,1456.4,1456.4,False,5
68,18745,19083.583684609424,18433.583684609424,1405.4,1405.4,False,5
69,18634,18988.914779659346,18338.914779659346,1386.5,1386.5,False,5
70,18385,18726.93183376394,18076.93183376394,1328.8,1328.8,False,5
71,18071,18410.21431038579,17760.21431038579,1262.9,741.9,False,5
72,17798,18128.03247224588,17528.03247224588,1411.4,485.7,False,5
73,17486,17813.18443248514,17213.18443248514,1341.1,1341.1,False,5
74,17721,18062.51315980267,17412.51315980267,1191.3,1191.3,False,5
75,17431,17766.5953904523,17166.5953904523,1335.4,1335.4,False,5
76,17168,17492.4647635242,16892.4647635242,1271.3,1271.3,False,5
77,16814,17141.63058564665,16541.63058564665,1198.4,1198.4,False,5
78,16417,16704.597786777314,16154.597786777314,1310.8,1310.8,False,5
79,16257,16568.57947503536,15968.579475035362,1079.1,1079.1,False,5
80,16266,16575.797205903342,15975.79720590334,1080.9,1080.9,False,5
81,16226,16542.242867728535,15942.242867728537,1073.2,1073.2,False,5
82,16157,16433.818064819287,15883.818064819285,1255.7,1255.7,False,5
83,15981,16283.664142273677,15733.664142273677,1220.9,1220.9,False,5
84,16169,16494.062551346102,15894.062551346102,1064.7,1064.7,False,5
85,16418,16705.70099811165,16155.700998111648,1311.0,1311.0,False,5
86,16387,16678.890696642244,16128.890696642244,1304.7,1304.7,False,5
87,15810,16088.199948709536,15538.199948709536,1179.4,1179.4,False,5
88,15658,15959.162478532393,15409.162478532393,1150.6,-2448.0,False,5
89,16179,16501.893406406343,15901.893406406345,1065.8,86.2,False,5
90,16526,16847.109199357103,16247.1091993571,1135.4,1135.4,False,5
91,16740,17028.725615432624,16478.725615432624,1383.2,1383.2,False,5
92,16493,16819.308681347087,16219.308681347089,1131.0,1131.0,False,5
93,16913,17226.125398072523,16626.125398072523,1214.3,1214.3,False,5
94,16685,16982.49331118492,16432.49331118492,1373.1,1373.1,False,5
95,17061,17401.952053522342,16801.952053522342,1261.8,-1611.7,False,5
96,17423,17759.96280370566,17159.96280370566,1334.8,252.7,False,5
97,17021,17317.63325919777,16717.63325919777,1241.8,1241.8,False,5
98,16903,17217.307816728622,16617.307816728622,1212.2,1212.2,False,5
99,16806,17134.856583096334,16534.856583096334,1197.5,1197.5,False,5
100,17386,17728.08807355785,17078.08807355785,1124.1,1124.1,False,5
101,17799,18129.250373593793,17529.250373593793,1411.5,1411.5,False,5
102,18051,18393.660713828896,17743.660713828896,1259.2,1259.2,False,5
103,17759,18095.172435232194,17445.172435232194,1198.9,1198.9,False,5
