T_days,K,type,mkt_price,implied_vol
7,22050,put,0.05,0.22233973961363243
7,22295,put,0.05,0.20067867867633363
7,22540,put,0.05,0.17911852827624333
7,22785,put,0.11,0.16722140189765852
7,23030,put,0.21,0.1526912417590853
7,23275,put,0.92,0.1496579556355656
7,23520,put,3.95,0.1492855708512943
7,23765,put,11.57,0.14350844805250387
7,24010,put,32.77,0.14023446175419313
7,24255,put,76.51,0.1338354834487172
7,24500,call,195.86,0.13541049626802137
7,24745,call,90.21,0.13173117654839175
7,24990,call,31.36,0.12647184959953223
7,25235,call,9.54,0.1267790247691928
7,25480,call,1.74,0.12210280537147439
7,25725,call,0.16,0.1154591631942853
7,25970,call,0.05,0.12429746659766165
7,26215,call,0.05,0.1430558490377053
7,26460,call,0.05,0.1614656377872781
7,26705,call,0.05,0.1795583686150588
7,26950,call,0.05,0.19735781007261022
14,22050,put,0.28,0.18083288718613416
14,22295,put,0.8,0.180397312651514
14,22540,put,1.3,0.17035196623357113
14,22785,put,2.57,0.1637974523072081
14,23030,put,5.38,0.15871343580449382
14,23275,put,12.06,0.15635323057977585
14,23520,put,23.39,0.15113175623552672
14,23765,put,44.8,0.1468345757055118
14,24010,put,82.03,0.142732842220767
14,24255,put,151.5,0.14396859890948258
14,24500,call,279.27,0.1326957979765203
14,24745,call,162.55,0.1290076801115701
14,24990,call,82.66,0.1249759384844799
14,25235,call,41.17,0.12638302154193282
14,25480,call,17.3,0.12526750169706022
14,25725,call,4.91,0.11912252238092895
14,25970,call,1.13,0.11479408392631395
14,26215,call,0.24,0.1129287889372394
14,26460,call,0.07,0.1155230360261903
14,26705,call,0.05,0.12556260126353364
14,26950,call,0.05,0.13815843460598617
30,22050,put,8.0,0.18282357507752792
30,22295,put,12.55,0.17922621955716384
30,22540,put,17.87,0.17290883606871693
30,22785,put,26.22,0.1675797364160166
30,23030,put,40.26,0.16421638416696452
30,23275,put,56.07,0.15724994819400587
30,23520,put,84.0,0.1538918879738131
30,23765,put,117.54,0.14761786637281682
30,24010,put,170.02,0.14412077587168862
30,24255,put,242.11,0.14125557705472633
30,24500,call,422.56,0.1313629482251671
30,24745,call,304.26,0.1314018797288918
30,24990,call,201.65,0.12782193316164617
30,25235,call,124.95,0.12443475726968625
30,25480,call,74.53,0.12287157172349464
30,25725,call,47.34,0.12576000794898753
30,25970,call,18.86,0.1164822324184167
30,26215,call,11.21,0.12000096564518944
30,26460,call,2.97,0.11028624629119319
30,26705,call,1.5,0.11276227754255679
30,26950,call,0.61,0.11290039771126954
60,22050,put,53.14,0.18895370938140926
60,22295,put,64.82,0.1830374847518567
60,22540,put,79.54,0.17732035514609906
60,22785,put,91.39,0.1682540609762006
60,23030,put,113.04,0.16258906513798482
60,23275,put,151.43,0.16152897005360958
60,23520,put,180.13,0.15365730029590868
60,23765,put,216.09,0.1459622572724075
60,24010,put,274.23,0.14223017790805523
60,24255,put,347.13,0.13897820960434362
60,24500,call,662.2,0.13959939017821565
60,24745,call,519.83,0.1351635331675414
60,24990,call,406.34,0.1336815145495204
60,25235,call,292.63,0.12744156238519547
60,25480,call,216.72,0.12654981276947563
60,25725,call,155.99,0.12552805443261902
60,25970,call,99.3,0.12052013339903894
60,26215,call,68.75,0.1208343565604542
60,26460,call,38.51,0.11569924762369592
60,26705,call,23.82,0.115028704655201
60,26950,call,13.68,0.1135968544475098
90,22050,put,99.31,0.1854284812944724
90,22295,put,125.16,0.1841847023574268
90,22540,put,136.9,0.17535367938157795
90,22785,put,163.25,0.17116317817207222
90,23030,put,195.26,0.16724005295757433
90,23275,put,228.99,0.16211861002646016
90,23520,put,272.59,0.15804938664717585
90,23765,put,313.13,0.151316279977965
90,24010,put,367.76,0.14618087053928058
90,24255,put,442.18,0.14332025001320398
90,24500,call,819.17,0.13486985563693943
90,24745,call,677.44,0.13221528172348584
90,24990,call,549.41,0.1294626823536522
90,25235,call,440.17,0.1275559778701464
90,25480,call,361.17,0.12909527694755102
90,25725,call,261.48,0.12275658967944965
90,25970,call,200.34,0.12213737723597369
90,26215,call,163.04,0.12518512724762104
90,26460,call,104.53,0.11844106301776411
90,26705,call,80.46,0.12014948345580004
90,26950,call,46.55,0.11376164200498504
